date,asset,level,entry_time,entry_price,direction,hurst_value,hurst_regime,vetoed,veto_reason,expiry_seconds,exit_time,exit_price,price_delta,outcome,net_pl,payout_pct,oteo_score,confidence,market_ready,adx_regime,trend_direction
2026-06-20,EURUSD_otc,L1_BASELINE,1781940619.311,1.16373,PUT,0.5,random_walk,False,,180,1781940799.497,1.16418,0.00045,loss,-1.0,92.0,81.6,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L1_BASELINE,1781940619.311,1.16373,PUT,0.5,random_walk,False,,300,1781948172.951,1.16719,0.00346,loss,-1.0,92.0,81.6,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L1_HURST,1781940619.311,1.16373,PUT,0.5,random_walk,True,regime_chop,60,1781940679.384,1.16399,0.00026,vetoed,0.0,92.0,81.6,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L2_BASELINE,1781940619.311,1.16373,PUT,0.5,random_walk,False,,15,1781940634.335,1.16388,0.00015,loss,-1.0,92.0,81.6,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L2_BASELINE,1781940619.311,1.16373,PUT,0.5,random_walk,False,,30,1781940649.362,1.16397,0.00024,loss,-1.0,92.0,81.6,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L2_BASELINE,1781940619.311,1.16373,PUT,0.5,random_walk,False,,60,1781940679.384,1.16399,0.00026,loss,-1.0,92.0,81.6,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L2_BASELINE,1781940619.311,1.16373,PUT,0.5,random_walk,False,,90,1781940709.403,1.16413,0.0004,loss,-1.0,92.0,81.6,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L2_BASELINE,1781940619.311,1.16373,PUT,0.5,random_walk,False,,120,1781940739.44,1.16429,0.00056,loss,-1.0,92.0,81.6,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L2_BASELINE,1781940619.311,1.16373,PUT,0.5,random_walk,False,,180,1781940799.497,1.16418,0.00045,loss,-1.0,92.0,81.6,MEDIUM,False,unavailable,flat
2026-06-20,EURUSD_otc,L2_BASELINE,1781940619.311,1.16373,PUT,0.5,random_walk,False,,300,1781948172.951,1.16719,0.00346,loss,-1.0,92.0,81.6,MEDIUM,False,unavailable,flat
